uid |     username     |  password
-----+------------------+------------
   1 | ChristinaBrown   | dummy
   2 | ChadHolloway     | dummy
   3 | PhillipHall      | dummy
   4 | EmilyJackson     | dummy
   5 | MarkDalton       | dummy
   6 | JohnMitchell     | dummy
   7 | NicholasHoward   | dummy
   8 | GregoryJones     | dummy
   9 | KarenConley      | dummy
  10 | MatthewRandall   | dummy
  11 | MatthewWalker    | dummy
  12 | Mrs.Jennifer     | dummy
  13 | SabrinaWang      | dummy
  14 | MeredithLindsey  | dummy
  15 | VernonGonzales   | dummy
  16 | JackMyers        | dummy
  17 | VincentLeonard   | dummy
  18 | JoshuaHansen     | dummy
  19 | MirandaSchroeder | dummy
  20 | JustinGonzalez   | dummy
  21 | MatthewHardy     | dummy
  22 | JohnMorrow       | dummy
  23 | CharlesEsparza   | dummy
  24 | NicholasDunn     | dummy
  25 | MiguelSantiago   | dummy
  26 | BrianDuke        | dummy
  27 | MichaelHernandez | dummy
  28 | LoriCampos       | dummy
  29 | SheilaHubbard    | dummy
  30 | SheilaHolmes     | dummy
  31 | CourtneyGarcia   | dummy
  32 | DarrenGray       | dummy
  33 | Mr.Stanley       | dummy
  34 | FrancesHenry     | dummy
  35 | JamesBrooks      | dummy
  36 | JessicaGraham    | dummy
  37 | ShannonTucker    | dummy
  38 | DebraFranklin    | dummy
  39 | GeorgeStout      | dummy
  40 | JasonKemp        | dummy
  41 | JenniferSmith    | dummy
  42 | MarcoCurtis      | dummy
  43 | DennisRios       | dummy
  44 | OscarCaldwell    | dummy
  45 | DavidRandall     | dummy
  46 | SamuelSanders    | dummy
  47 | EricMarshall     | dummy
  50 | JuanHicks        | dummy
  51 | dgfluxa          | grupo23bdd
  52 | pelao            | pelao
  53 | camaruri         | grupo2350
  54 | carajila         | grupo2350
  55 | asdasd           | asdasd
  56 | fito             | fito
  57 | camaruri2        | Caml8486
  58 | julio            | julio
  59 | isa              | hola
  60 | arpincheira      | 1234
  61 | pancho           | 1234
